s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
211.5284870, 89655.3074197, 43185.7332218, -1.2262588, -0.0507750, 9.0428417, -6.3244053
212.5262629, 89656.2624036, 43186.0446411, -1.2889391, -0.0724907, 8.3157867, -7.3588337
213.5240388, 89657.3260222, 43186.3042722, -1.3778400, -0.0952860, 7.3802015, -6.4815629
214.5218147, 89658.2312719, 43186.4329617, -1.4933391, -0.1783031, 6.4446164, -2.2571218
215.5195906, 89659.2052648, 43186.3792285, -1.8050613, -0.4230382, 6.0851357, -1.1020262
216.5173664, 89660.0519743, 43186.0363453, -2.0598620, -0.1887170, 5.9016715, -0.7882558
217.5151423, 89660.8492780, 43185.5086343, -2.2537769, -0.2067013, 5.7668641, -0.7239042
218.5129182, 89661.6029529, 43184.7471528, -2.4609660, -0.1577894, 5.6402245, -0.6226950
219.5106941, 89662.1801104, 43183.9231393, -2.5937575, -0.1181824, 5.5289703, -0.6102899
220.5084700, 89662.6547977, 43183.0266921, -2.7187401, -0.1382713, 5.4177161, 0.3157491
221.5062459, 89663.0010100, 43182.0435118, -2.8996862, -0.2087401, 5.4755585, 0.6436759
222.5040217, 89663.1283548, 43181.0823446, -3.1267429, -0.2488320, 5.5916214, 1.7607226
223.5017976, 89663.0349819, 43180.1621892, 2.9196591, -0.2771017, 5.8974438, 2.8358809
224.4995735, 89662.6958238, 43179.2556407, 2.6503999, -0.2604946, 6.3591658, 2.7615959
225.4973494, 89662.1032705, 43178.4125761, 2.4232074, -0.1653403, 6.7786354, 2.2272574
226.4951253, 89661.4317525, 43177.7372415, 2.3064148, -0.0911468, 7.0989087, 2.3300611
227.4929012, 89660.6400793, 43177.0762313, 2.2324369, -0.0565535, 7.4191821, 2.4676029
228.4906770, 89659.7945364, 43176.4525003, 2.1831899, -0.0409590, 7.7439326, 2.6998884
229.4884529, 89658.9522795, 43175.8861426, 2.1427439, -0.0387192, 8.0843218, 2.8160114
230.4862288, 89658.1053620, 43175.3633291, 2.1053322, -0.0364416, 8.4247110, 2.9952446
231.4840047, 89657.2550867, 43174.8797797, 2.0707743, -0.0351506, 8.7722814, 4.0690633
232.4817806, 89656.3579956, 43174.4127968, 2.0284513, -0.0486281, 9.2234997, 4.2731151
233.4795564, 89655.4553005, 43173.9973986, 1.9735269, -0.0617725, 9.6747181, 4.0589740
